time,id,confirm
2020/1/30,0,11
2020/1/31,0,22
2020/2/1,0,22
2020/2/2,0,28
2020/2/3,0,33
2020/2/4,0,35
2020/2/5,0,40
2020/2/6,0,44
2020/2/7,0,48
2020/2/8,0,49
2020/2/9,0,50
2020/2/10,0,52
2020/2/11,0,53
2020/2/12,0,55
2020/2/13,0,57
2020/2/14,0,59
2020/2/15,0,62
2020/2/16,0,62
2020/2/17,0,62
2020/2/18,0,62
2020/2/19,0,62
2020/2/20,0,62
2020/2/21,0,62
2020/2/22,0,62
2020/2/23,0,62
2020/2/24,0,62
2020/2/25,0,62
2020/2/26,0,62
2020/2/27,0,62
2020/2/28,0,62
2020/2/29,0,62
2020/3/1,0,62
2020/3/2,0,62
2020/3/3,0,62
2020/3/4,0,62
2020/3/5,0,62
2020/1/30,1,4
2020/1/31,1,4
2020/2/1,1,11
2020/2/2,1,12
2020/2/3,1,19
2020/2/4,1,20
2020/2/5,1,23
2020/2/6,1,23
2020/2/7,1,27
2020/2/8,1,29
2020/2/9,1,29
2020/2/10,1,29
2020/2/11,1,29
2020/2/12,1,29
2020/2/13,1,32
2020/2/14,1,32
2020/2/15,1,32
2020/2/16,1,32
2020/2/17,1,32
2020/2/18,1,32
2020/2/19,1,32
2020/2/20,1,32
2020/2/21,1,32
2020/2/22,1,32
2020/2/23,1,32
2020/2/24,1,32
2020/2/25,1,32
2020/2/26,1,32
2020/2/27,1,32
2020/2/28,1,32
2020/2/29,1,32
2020/3/1,1,32
2020/3/2,1,32
2020/3/3,1,32
2020/3/4,1,32
2020/3/5,1,32
2020/1/30,2,2
2020/1/31,2,3
2020/2/1,2,3
2020/2/2,2,3
2020/2/3,2,3
2020/2/4,2,3
2020/2/5,2,3
2020/2/6,2,3
2020/2/7,2,3
2020/2/8,2,4
2020/2/9,2,4
2020/2/10,2,4
2020/2/11,2,6
2020/2/12,2,6
2020/2/13,2,6
2020/2/14,2,6
2020/2/15,2,6
2020/2/16,2,6
2020/2/17,2,6
2020/2/18,2,6
2020/2/19,2,6
2020/2/20,2,6
2020/2/21,2,6
2020/2/22,2,6
2020/2/23,2,6
2020/2/24,2,6
2020/2/25,2,6
2020/2/26,2,6
2020/2/27,2,6
2020/2/28,2,6
2020/2/29,2,6
2020/3/1,2,6
2020/3/2,2,6
2020/3/3,2,6
2020/3/4,2,6
